flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2025-04-01,scheduled,"{'airport': 'Palmerston North', 'timezone': 'Pacific/Auckland', 'iata': 'PMR', 'icao': 'NZPM', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T10:25:00+00:00', 'estimated': '2025-04-01T10:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '47', 'baggage': 'DTB3', 'scheduled': '2025-04-01T11:40:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '8485', 'iata': 'QF8485', 'icao': 'QFA8485', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '5106', 'flight_iata': 'nz5106', 'flight_icao': 'anz5106'}}",,
2025-04-01,scheduled,"{'airport': 'Palmerston North', 'timezone': 'Pacific/Auckland', 'iata': 'PMR', 'icao': 'NZPM', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T10:25:00+00:00', 'estimated': '2025-04-01T10:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '47', 'baggage': 'DTB3', 'scheduled': '2025-04-01T11:40:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air China LTD', 'iata': 'CA', 'icao': 'CCA'}","{'number': '5186', 'iata': 'CA5186', 'icao': 'CCA5186', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '5106', 'flight_iata': 'nz5106', 'flight_icao': 'anz5106'}}",,
2025-04-01,scheduled,"{'airport': 'Palmerston North', 'timezone': 'Pacific/Auckland', 'iata': 'PMR', 'icao': 'NZPM', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T10:10:00+00:00', 'estimated': '2025-04-01T10:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': 'D', 'gate': 'D9', 'baggage': None, 'scheduled': '2025-04-01T11:30:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5181', 'iata': 'NZ5181', 'icao': 'ANZ5181', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Palmerston North', 'timezone': 'Pacific/Auckland', 'iata': 'PMR', 'icao': 'NZPM', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T10:10:00+00:00', 'estimated': '2025-04-01T10:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': 'D', 'gate': 'D9', 'baggage': None, 'scheduled': '2025-04-01T11:30:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '8585', 'iata': 'QF8585', 'icao': 'QFA8585', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '5181', 'flight_iata': 'nz5181', 'flight_icao': 'anz5181'}}",,
2025-04-01,scheduled,"{'airport': 'Netaji Subhas Chandra', 'timezone': 'Asia/Kolkata', 'iata': 'CCU', 'icao': 'VECC', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T03:25:00+00:00', 'estimated': '2025-04-01T03:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Phuket International', 'timezone': 'Asia/Bangkok', 'iata': 'HKT', 'icao': 'VTSP', 'terminal': 'D', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T08:00:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'AirAsia', 'iata': 'AK', 'icao': 'AXM'}","{'number': '187', 'iata': 'AK187', 'icao': 'AXM187', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Shanghai Hongqiao International', 'timezone': 'Asia/Shanghai', 'iata': 'SHA', 'icao': 'ZSSS', 'terminal': '2', 'gate': 'B,C', 'delay': None, 'scheduled': '2025-04-01T06:55:00+00:00', 'estimated': '2025-04-01T06:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Fenghuang International (Phoenix International)', 'timezone': 'Asia/Shanghai', 'iata': 'SYX', 'icao': 'ZJSY', 'terminal': 'T1', 'gate': None, 'baggage': '1', 'scheduled': '2025-04-01T10:00:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Shanghai Airlines', 'iata': 'FM', 'icao': 'CSH'}","{'number': '9537', 'iata': 'FM9537', 'icao': 'CSH9537', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Zhengzhou', 'timezone': 'Asia/Shanghai', 'iata': 'CGO', 'icao': 'ZHCC', 'terminal': '2', 'gate': '236', 'delay': None, 'scheduled': '2025-04-01T06:00:00+00:00', 'estimated': '2025-04-01T06:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kunming', 'timezone': 'Asia/Shanghai', 'iata': 'KMG', 'icao': 'ZPPP', 'terminal': None, 'gate': None, 'baggage': '11', 'scheduled': '2025-04-01T08:35:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'West Air (China)', 'iata': 'PN', 'icao': 'CHB'}","{'number': '6377', 'iata': 'PN6377', 'icao': 'CHB6377', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Zhengzhou', 'timezone': 'Asia/Shanghai', 'iata': 'CGO', 'icao': 'ZHCC', 'terminal': '2', 'gate': '236', 'delay': None, 'scheduled': '2025-04-01T06:00:00+00:00', 'estimated': '2025-04-01T06:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kunming', 'timezone': 'Asia/Shanghai', 'iata': 'KMG', 'icao': 'ZPPP', 'terminal': None, 'gate': None, 'baggage': '11', 'scheduled': '2025-04-01T08:35:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Hainan Airlines', 'iata': 'HU', 'icao': 'CHH'}","{'number': '4103', 'iata': 'HU4103', 'icao': 'CHH4103', 'codeshared': {'airline_name': 'west air (china)', 'airline_iata': 'pn', 'airline_icao': 'chb', 'flight_number': '6377', 'flight_iata': 'pn6377', 'flight_icao': 'chb6377'}}",,
2025-04-01,scheduled,"{'airport': 'Zhengzhou', 'timezone': 'Asia/Shanghai', 'iata': 'CGO', 'icao': 'ZHCC', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T05:45:00+00:00', 'estimated': '2025-04-01T05:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Los Angeles International', 'timezone': 'America/Los_Angeles', 'iata': 'LAX', 'icao': 'KLAX', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T02:45:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Suparna Airlines', 'iata': 'Y8', 'icao': 'YZR'}","{'number': '7407', 'iata': 'Y87407', 'icao': 'YZR7407', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Zhengzhou', 'timezone': 'Asia/Shanghai', 'iata': 'CGO', 'icao': 'ZHCC', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T05:30:00+00:00', 'estimated': '2025-04-01T05:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Madras International (Meenambakkam)', 'timezone': 'Asia/Kolkata', 'iata': 'MAA', 'icao': 'VOMM', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T09:10:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SF Airlines', 'iata': 'O3', 'icao': 'CSS'}","{'number': '249', 'iata': 'O3249', 'icao': 'CSS249', 'codeshared': None}",,
